Reference, Quantity, Value, Footprint, LCSC, P/N
C23 C24 ,2,30pF,Capacitor_SMD:C_0402_1005Metric,C159804,CL05C300JB5NNNC
C25 ,1,NF,Capacitor_SMD:C_0402_1005Metric,,
C6 C7 C1 C2 C3 C4 C9 C10 ,8,2u2,Capacitor_SMD:C_0402_1005Metric,C71000,CL10A225KQ8NNNC
C8 C5 C12 C13 C14 C15 C16 C17 C11 C19 C20 C21 C22 C18 C26 ,15,100n,Capacitor_SMD:C_0402_1005Metric,C100072,CL05A104KA5NNNC
D2 ,1,BLUE,LED_SMD:LED_0603_1608Metric,C157738,LTST-C193TBKT-2A
D3 D5 ,2,GREEN,LED_SMD:LED_0603_1608Metric,C12065,LTST-C193TGKT-5A
D4 D1 ,2,YELLOW,LED_SMD:LED_0603_1608Metric,C160477,LTST-C193KSKT-5A
FB1 FB2 FB3 ,3,"600R, 0.5A",Inductor_SMD:L_0402_1005Metric,C76886,BLM15AX601SN1D
J1 ,1,USB_C_Receptacle_USB2.0,tigard:USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,TYPE-C-31-M-12
J2 ,1,JTAG,tigard:PinHeader_1x09_P2.54mm_Vertical,C358689,MTP125-1108S1
J3 ,1,UART,tigard:PinHeader_1x09_P2.54mm_Vertical,C492408,PZ254V-11-09P
J4 ,1,SPI,tigard:PinHeader_2x04_P2.54mm_Vertical,C358693,MTP125-1204S1
J5 ,1,CORTEX,tigard:PinHeader_2x05_P1.27mm_Vertical_SMD,C448647,FTSH-105-01-F-DV-K
J6 ,1,LA,tigard:PinHeader_2x07_P1.27mm_Vertical_SMD,C448647,FTSH-107-01-F-DV-K
J7 ,1,I2C,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,SM04B-SRSS-TB(LF)(SN)
Q1 ,1,BSH103,tigard:SOT-23_RoundRect,C88711,"BSH103,235"
R1 R2 ,2,5k1,Resistor_SMD:R_0402_1005Metric,C25941,0402WGJ0512TCE
R15 ,1,2.2k,Resistor_SMD:R_0402_1005Metric,C25879,0402WGF2201TCE
R16 R4 R5 R9 R8 R11 ,6,330,Resistor_SMD:R_0402_1005Metric,C25104,0402WGF3300TCE
R17 R3 ,2,1M,Resistor_SMD:R_0402_1005Metric,C26083,0402WGF1004TCE
R21 R20 R7 R13 R14 R12 R18 R19 R10 R24 ,10,10k,Resistor_SMD:R_0402_1005Metric,C301923,040200J0103TCE
R22 ,1,2k2,Resistor_SMD:R_0402_1005Metric,C25933,0402WGJ0222TCE
R6 ,1,"12k, 1%",Resistor_SMD:R_0402_1005Metric,C25752,0402WGF1202TCE
RN1 RN2 RN8 RN7 ,4,100k,tigard:R_Array_Convex_4x0402_RoundRect,C25724,4D02WGJ0104TCE
RN3 RN4 RN5 RN6 ,4,100,tigard:R_Array_Convex_4x0402_RoundRect,C48442,4D02WGJ0101TCE
SW1 ,1,TARGET,tigard:SW_ALPS_SSSS224100_DP4T,C255514,SSSS224100
SW2 ,1,MODE,tigard:SW_CuK_JS202011CQN_DPDT_Straight,C221663,JS202011CQN
U1 ,1,AP7365-18,tigard:SOT-23-5_RoundRect,C460402,AP7365-18WG-7
U2 ,1,AP7365-33,tigard:SOT-23-5_RoundRect,C150742,AP7365-33WG-7
U3 ,1,FT2232HQ,Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP4.35x4.35mm_ThermalVias,C193662,FT2232HQ-REEL
U4 ,1,93LC46BT-I/OT,tigard:SOT-23-6_RoundRect,C190271,93LC56BT-I/OT
U5 U6 ,2,SN74LVC8T245,Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm,C27643,SN74LVC8T245PWR
Y1 ,1,12MHz,tigard:Crystal_SMD_3225-4Pin_3.2x2.5mm_RoundRect,C9002,X322512MSB4SI
